Ticker,Date,DebtToEquity
NVDA,2010-01-01,0.345
NVDA,2011-01-01,0.345
NVDA,2012-01-01,0.32
NVDA,2013-01-01,0.3225
NVDA,2014-01-01,0.6325000000000001
NVDA,2015-01-01,0.6275
NVDA,2016-01-01,0.7050000000000001
NVDA,2017-01-01,0.5925
NVDA,2018-01-01,0.4775
NVDA,2019-01-01,0.4275
NVDA,2020-01-01,0.6900000000000001
NVDA,2021-01-01,0.72
NVDA,2022-01-01,0.775
NVDA,2023-01-01,0.775
NVDA,2024-01-01,0.5075000000000001
NVDA,2025-01-01,0.44999999999999996
MSFT,2010-01-01,0.895
MSFT,2011-01-01,0.8325
MSFT,2012-01-01,0.7725
MSFT,2013-01-01,0.7725
MSFT,2014-01-01,0.8725
MSFT,2015-01-01,1.18
MSFT,2016-01-01,1.8499999999999999
MSFT,2017-01-01,2.0324999999999998
MSFT,2018-01-01,2.01
MSFT,2019-01-01,1.695
MSFT,2020-01-01,1.455
MSFT,2021-01-01,1.2475
MSFT,2022-01-01,1.0925
MSFT,2023-01-01,0.9875
MSFT,2024-01-01,0.85
MSFT,2025-01-01,0.775
AAPL,2010-01-01,0.5275
AAPL,2011-01-01,0.535
AAPL,2012-01-01,0.49
AAPL,2013-01-01,0.62
AAPL,2014-01-01,0.9375
AAPL,2015-01-01,1.23
AAPL,2016-01-01,1.4425
AAPL,2017-01-01,1.7025000000000001
AAPL,2018-01-01,2.13
AAPL,2019-01-01,2.5275
AAPL,2020-01-01,3.6975
AAPL,2021-01-01,4.215
AAPL,2022-01-01,5.015000000000001
AAPL,2023-01-01,4.335
AAPL,2024-01-01,4.2700000000000005
AAPL,2025-01-01,3.96
AMZN,2010-01-01,1.3025
AMZN,2011-01-01,1.58
AMZN,2012-01-01,2.1475
AMZN,2013-01-01,2.5975
AMZN,2014-01-01,3.02
AMZN,2015-01-01,3.6075
AMZN,2016-01-01,3.1
AMZN,2017-01-01,3.2350000000000003
AMZN,2018-01-01,2.815
AMZN,2019-01-01,2.61
AMZN,2020-01-01,2.435
AMZN,2021-01-01,2.12
AMZN,2022-01-01,2.1375
AMZN,2023-01-01,1.78
AMZN,2024-01-01,1.3125
AMZN,2025-01-01,1.1
GOOGL,2010-01-01,0.195
GOOGL,2011-01-01,0.2475
GOOGL,2012-01-01,0.3025
GOOGL,2013-01-01,0.275
GOOGL,2014-01-01,0.2625
GOOGL,2015-01-01,0.235
GOOGL,2016-01-01,0.205
GOOGL,2017-01-01,0.22499999999999998
GOOGL,2018-01-01,0.3025
GOOGL,2019-01-01,0.35
GOOGL,2020-01-01,0.3825
GOOGL,2021-01-01,0.42
GOOGL,2022-01-01,0.41
GOOGL,2023-01-01,0.43
GOOGL,2024-01-01,0.3825
GOOGL,2025-01-01,0.38
META,2010-01-01,0.095
META,2011-01-01,0.0725
META,2012-01-01,0.21
META,2013-01-01,0.21250000000000002
META,2014-01-01,0.13
META,2015-01-01,0.12
META,2016-01-01,0.10250000000000001
META,2017-01-01,0.11750000000000001
META,2018-01-01,0.15
META,2019-01-01,0.3075
META,2020-01-01,0.265
META,2021-01-01,0.2625
META,2022-01-01,0.4
META,2023-01-01,0.5075000000000001
META,2024-01-01,0.5075000000000001
META,2025-01-01,0.51
AVGO,2010-01-01,0.46499999999999997
AVGO,2011-01-01,0.215
AVGO,2012-01-01,0.195
AVGO,2013-01-01,0.16749999999999998
AVGO,2014-01-01,1.2175
AVGO,2015-01-01,1.525
AVGO,2016-01-01,1.2125
AVGO,2017-01-01,1.2575
AVGO,2018-01-01,0.8275
AVGO,2019-01-01,2.0675
AVGO,2020-01-01,2.3200000000000003
AVGO,2021-01-01,2.13
AVGO,2022-01-01,2.315
AVGO,2023-01-01,2.1675
AVGO,2024-01-01,1.51
AVGO,2025-01-01,1.37
TSLA,2010-01-01,0.007500000000000007
TSLA,2011-01-01,1.46
TSLA,2012-01-01,-1.6624999999999999
TSLA,2013-01-01,3.3125
TSLA,2014-01-01,4.58
TSLA,2015-01-01,6.41
TSLA,2016-01-01,4.7425
TSLA,2017-01-01,3.7125
TSLA,2018-01-01,4.43
TSLA,2019-01-01,3.8775
TSLA,2020-01-01,2.06
TSLA,2021-01-01,1.1099999999999999
TSLA,2022-01-01,0.8425
TSLA,2023-01-01,0.735
TSLA,2024-01-01,0.68
TSLA,2025-01-01,0.655
TSM,2010-01-01,0.26
TSM,2011-01-01,0.265
TSM,2012-01-01,0.31
TSM,2013-01-01,0.48
TSM,2014-01-01,0.4625
TSM,2015-01-01,0.4075
TSM,2016-01-01,0.39749999999999996
TSM,2017-01-01,0.3575
TSM,2018-01-01,0.2925
TSM,2019-01-01,0.36
TSM,2020-01-01,0.4475
TSM,2021-01-01,0.595
TSM,2022-01-01,0.71
TSM,2023-01-01,0.6174999999999999
TSM,2024-01-01,0.56
TSM,2025-01-01,0.535
BRK.B,2010-01-01,1.34
BRK.B,2011-01-01,1.315
BRK.B,2012-01-01,1.2525
BRK.B,2013-01-01,1.1749999999999998
BRK.B,2014-01-01,1.1475
BRK.B,2015-01-01,1.1624999999999999
BRK.B,2016-01-01,1.2175
BRK.B,2017-01-01,1.1475
BRK.B,2018-01-01,0.98
BRK.B,2019-01-01,0.955
BRK.B,2020-01-01,0.9824999999999999
BRK.B,2021-01-01,0.905
BRK.B,2022-01-01,0.9349999999999999
BRK.B,2023-01-01,0.9125
BRK.B,2024-01-01,0.815
BRK.B,2025-01-01,0.755
WMT,2010-01-01,1.575
WMT,2011-01-01,1.67
WMT,2012-01-01,1.615
WMT,2013-01-01,1.6125
WMT,2014-01-01,1.51
WMT,2015-01-01,1.445
WMT,2016-01-01,1.505
WMT,2017-01-01,1.5725
WMT,2018-01-01,1.6975
WMT,2019-01-01,1.9975
WMT,2020-01-01,1.9575
WMT,2021-01-01,1.7825
WMT,2022-01-01,1.8824999999999998
WMT,2023-01-01,2.0025
WMT,2024-01-01,1.82
WMT,2025-01-01,1.79
JPM,2010-01-01,11.2725
JPM,2011-01-01,11.34
JPM,2012-01-01,10.8475
JPM,2013-01-01,10.64
JPM,2014-01-01,10.1
JPM,2015-01-01,9.1075
JPM,2016-01-01,8.7925
JPM,2017-01-01,8.925
JPM,2018-01-01,9.1425
JPM,2019-01-01,9.407499999999999
JPM,2020-01-01,11.065
JPM,2021-01-01,11.925
JPM,2022-01-01,12.2225
JPM,2023-01-01,11.2075
JPM,2024-01-01,11.025
JPM,2025-01-01,11.58
ORCL,2010-01-01,0.9925
ORCL,2011-01-01,0.7949999999999999
ORCL,2012-01-01,0.7725
ORCL,2013-01-01,0.8775000000000001
ORCL,2014-01-01,0.9850000000000001
ORCL,2015-01-01,1.2275
ORCL,2016-01-01,1.4300000000000002
ORCL,2017-01-01,1.4475
ORCL,2018-01-01,2.235
ORCL,2019-01-01,4.2625
ORCL,2020-01-01,8.8875
ORCL,2021-01-01,-22.389999999999997
ORCL,2022-01-01,-23.5275
ORCL,2023-01-01,23.0775
ORCL,2024-01-01,14.165000000000001
ORCL,2025-01-01,7.6899999999999995
V,2010-01-01,0.335
V,2011-01-01,0.3175
V,2012-01-01,0.38
V,2013-01-01,0.3225
V,2014-01-01,0.3875
V,2015-01-01,0.4875
V,2016-01-01,0.9425
V,2017-01-01,1.0350000000000001
V,2018-01-01,1.0550000000000002
V,2019-01-01,1.065
V,2020-01-01,1.17
V,2021-01-01,1.1975
V,2022-01-01,1.3475
V,2023-01-01,1.295
V,2024-01-01,1.3475
V,2025-01-01,1.5150000000000001
LLY,2010-01-01,1.555
LLY,2011-01-01,1.315
LLY,2012-01-01,1.2175
LLY,2013-01-01,1.0875
LLY,2014-01-01,1.04
LLY,2015-01-01,1.415
LLY,2016-01-01,1.4925
LLY,2017-01-01,2.0749999999999997
LLY,2018-01-01,2.4675
LLY,2019-01-01,12.4625
LLY,2020-01-01,8.872499999999999
LLY,2021-01-01,5.2924999999999995
LLY,2022-01-01,3.915
LLY,2023-01-01,4.16
LLY,2024-01-01,4.2575
LLY,2025-01-01,4.64
MA,2010-01-01,0.7675000000000001
MA,2011-01-01,0.6799999999999999
MA,2012-01-01,0.7725
MA,2013-01-01,0.7875
MA,2014-01-01,1.255
MA,2015-01-01,1.42
MA,2016-01-01,1.93
MA,2017-01-01,2.445
MA,2018-01-01,3.2199999999999998
MA,2019-01-01,3.9
MA,2020-01-01,4.2925
MA,2021-01-01,4.2725
MA,2022-01-01,4.7475000000000005
MA,2023-01-01,5.645
MA,2024-01-01,5.3075
MA,2025-01-01,5.885
NFLX,2010-01-01,2.9375
NFLX,2011-01-01,3.62
NFLX,2012-01-01,4.234999999999999
NFLX,2013-01-01,3.3875
NFLX,2014-01-01,2.935
NFLX,2015-01-01,3.69
NFLX,2016-01-01,3.9025
NFLX,2017-01-01,4.137499999999999
NFLX,2018-01-01,3.9175
NFLX,2019-01-01,3.675
NFLX,2020-01-01,2.86
NFLX,2021-01-01,1.9175
NFLX,2022-01-01,1.4175
NFLX,2023-01-01,1.2775
NFLX,2024-01-01,1.245
NFLX,2025-01-01,1.15
XOM,2010-01-01,1.0075
XOM,2011-01-01,1.025
XOM,2012-01-01,0.99
XOM,2013-01-01,0.9625
XOM,2014-01-01,0.9125000000000001
XOM,2015-01-01,0.93
XOM,2016-01-01,0.92
XOM,2017-01-01,0.84
XOM,2018-01-01,0.7825
XOM,2019-01-01,0.815
XOM,2020-01-01,0.9475
XOM,2021-01-01,1.0025
XOM,2022-01-01,0.935
XOM,2023-01-01,0.7775000000000001
XOM,2024-01-01,0.6975
XOM,2025-01-01,0.67
COST,2010-01-01,1.1925
COST,2011-01-01,1.1625
COST,2012-01-01,1.18
COST,2013-01-01,1.8075
COST,2014-01-01,1.7025
COST,2015-01-01,2.1425
COST,2016-01-01,1.8599999999999999
COST,2017-01-01,2.2625
COST,2018-01-01,2.19
COST,2019-01-01,2.0125
COST,2020-01-01,2.1950000000000003
COST,2021-01-01,2.36
COST,2022-01-01,2.1125
COST,2023-01-01,1.8325
COST,2024-01-01,2.0700000000000003
COST,2025-01-01,1.82
PLTR,2018-01-01,0.0
PLTR,2019-01-01,-1.81
PLTR,2020-01-01,0.1925
PLTR,2021-01-01,0.5025
PLTR,2022-01-01,0.375
PLTR,2023-01-01,0.2925
PLTR,2024-01-01,0.255
PLTR,2025-01-01,0.22
JNJ,2010-01-01,0.765
JNJ,2011-01-01,0.855
JNJ,2012-01-01,0.8875
JNJ,2013-01-01,0.8049999999999999
JNJ,2014-01-01,0.7675
JNJ,2015-01-01,0.8725
JNJ,2016-01-01,0.9375
JNJ,2017-01-01,1.2275
JNJ,2018-01-01,1.48
JNJ,2019-01-01,1.605
JNJ,2020-01-01,1.615
JNJ,2021-01-01,1.5425
JNJ,2022-01-01,1.3775
JNJ,2023-01-01,1.5125
JNJ,2024-01-01,1.5125
JNJ,2025-01-01,1.47
HD,2010-01-01,1.1825
HD,2011-01-01,1.2825000000000002
HD,2012-01-01,1.35
HD,2013-01-01,1.705
HD,2014-01-01,2.665
HD,2015-01-01,3.9450000000000003
HD,2016-01-01,6.065
HD,2017-01-01,11.975
HD,2018-01-01,27.8825
HD,2019-01-01,-36.165
HD,2020-01-01,-36.67250000000001
HD,2021-01-01,40.917500000000004
HD,2022-01-01,71.995
HD,2023-01-01,91.505
HD,2024-01-01,37.89
HD,2025-01-01,12.475000000000001
PG,2010-01-01,1.07
PG,2011-01-01,1.0550000000000002
PG,2012-01-01,1.07
PG,2013-01-01,1.0425
PG,2014-01-01,1.0675000000000001
PG,2015-01-01,1.06
PG,2016-01-01,1.1724999999999999
PG,2017-01-01,1.2149999999999999
PG,2018-01-01,1.2575
PG,2019-01-01,1.3675
PG,2020-01-01,1.525
PG,2021-01-01,1.585
PG,2022-01-01,1.595
PG,2023-01-01,1.5575
PG,2024-01-01,1.4024999999999999
PG,2025-01-01,1.37
ABBV,2010-01-01,0.35
ABBV,2011-01-01,0.16
ABBV,2012-01-01,2.1475
ABBV,2013-01-01,6.8575
ABBV,2014-01-01,7.3975
ABBV,2015-01-01,12.4775
ABBV,2016-01-01,11.0125
ABBV,2017-01-01,11.120000000000001
ABBV,2018-01-01,-8.105
ABBV,2019-01-01,-9.015
ABBV,2020-01-01,3.7849999999999997
ABBV,2021-01-01,9.790000000000001
ABBV,2022-01-01,7.845000000000001
ABBV,2023-01-01,10.2
ABBV,2024-01-01,24.7775
ABBV,2025-01-01,-451.46500000000003
SAP,2010-01-01,0.9075
SAP,2011-01-01,0.9824999999999999
SAP,2012-01-01,0.9025
SAP,2013-01-01,0.8525
SAP,2014-01-01,0.7875
