Ticker,Year,MarketCap
NVDA,2010,7582457953.98291
NVDA,2011,9440935790.951416
NVDA,2012,7556478094.120799
NVDA,2013,8074914032.5271
NVDA,2014,10761744994.856445
NVDA,2015,14005147704.430786
NVDA,2016,32195275285.898926
NVDA,2017,90186199272.87582
NVDA,2018,140286924868.092
NVDA,2019,105790503710.18555
NVDA,2020,240412170866.2151
NVDA,2021,475077516726.7578
NVDA,2022,452175177933.8303
NVDA,2023,891283821919.4268
MSFT,2010,152279169491.47974
MSFT,2011,150131103639.3972
MSFT,2012,176546537404.46423
MSFT,2013,198351196296.83856
MSFT,2014,266675903645.7755
MSFT,2015,301252967995.12146
MSFT,2016,366168420239.58923
MSFT,2017,489008308627.76715
MSFT,2018,699534633837.6394
MSFT,2019,917457935741.1486
MSFT,2020,1374829034684.392
MSFT,2021,1984422628308.6304
MSFT,2022,1949085061203.9182
MSFT,2023,2298508864283.486
AAPL,2010,115893931449.75035
AAPL,2011,162351806178.69836
AAPL,2012,257550907549.50256
AAPL,2013,215566045171.1284
AAPL,2014,301691488237.6877
AAPL,2015,399224576820.49255
AAPL,2016,355101042249.444
AAPL,2017,520717700075.6076
AAPL,2018,663851461393.3633
AAPL,2019,742821107961.0204
AAPL,2020,1375933580117.5784
AAPL,2021,2048169381353.5845
AAPL,2022,2261791140906.783
AAPL,2023,2535776296452.7856
AMZN,2010,74195917976.97424
AMZN,2011,104874369088.93277
AMZN,2012,117475809961.70552
AMZN,2013,158923847973.24542
AMZN,2014,177331168233.66147
AMZN,2015,254964843989.20267
AMZN,2016,373017198436.7423
AMZN,2017,516270197757.67804
AMZN,2018,875442237679.8557
AMZN,2019,954076160334.1274
AMZN,2020,1429552516959.504
AMZN,2021,1783100281648.5664
AMZN,2022,1344831240222.609
AMZN,2023,1294428728004.3313
GOOGL,2010,77506128225.25021
GOOGL,2011,82332119366.87857
GOOGL,2012,93017303767.8005
GOOGL,2013,127952343922.31764
GOOGL,2014,164253305538.87265
GOOGL,2015,179248555629.31714
GOOGL,2016,220657204495.12662
GOOGL,2017,271703494805.8353
GOOGL,2018,324400830203.092
GOOGL,2019,344399960436.28186
GOOGL,2020,427600675475.4701
GOOGL,2021,718308219661.498
GOOGL,2022,663581344235.0256
GOOGL,2023,686909249750.1107
META,2012,53222975032.46283
META,2013,76537307847.63396
META,2014,148329023448.00192
META,2015,191494226237.5992
META,2016,252461110317.59595
META,2017,337754518356.0096
META,2018,369970718465.688
META,2019,391814948449.78455
META,2020,505955749307.6056
META,2021,692795979596.4316
META,2022,388687525676.96014
META,2023,563925075221.6602
AVGO,2010,7155870079.191147
AVGO,2011,10855392618.871616
AVGO,2012,11717218401.43161
AVGO,2013,13373912314.086718
AVGO,2014,25994462137.068443
AVGO,2015,45012534535.05429
AVGO,2016,57061575852.42231
AVGO,2017,87290346713.23137
AVGO,2018,91242509860.84505
AVGO,2019,114303537290.78706
AVGO,2020,133889400635.8702
AVGO,2021,212622940967.26993
AVGO,2022,239593890250.22403
AVGO,2023,357492706434.53546
TSLA,2010,5019197124.081017
TSLA,2011,5763827945.821874
TSLA,2012,6702183937.373769
TSLA,2013,22449396354.855274
TSLA,2014,48022453384.97269
TSLA,2015,49466123751.92717
TSLA,2016,45106254191.02748
TSLA,2017,67587432448.000496
TSLA,2018,68231151722.24505
TSLA,2019,58817198390.61985
TSLA,2020,311790344409.30133
TSLA,2021,838611066623.5809
TSLA,2022,848593573850.898
TSLA,2023,701455507968.8368
TSM,2010,34862572971.96463
TSM,2011,44049299604.10061
TSM,2012,53932137881.090515
TSM,2013,66835435441.241844
TSM,2014,78233832748.95992
TSM,2015,89844642604.47871
TSM,2016,109924825991.19495
TSM,2017,151669116748.4103
TSM,2018,178116141870.7825
TSM,2019,199757436702.7773
TSM,2020,330826823303.00134
TSM,2021,573783592003.8269
TSM,2022,446695955646.7518
TSM,2023,467953332439.3531
BRK-B,2010,108222850362.2394
BRK-B,2011,106952669514.41936
BRK-B,2012,114962745511.57387
BRK-B,2013,151887601244.70642
BRK-B,2014,179796236248.79486
BRK-B,2015,193205206666.92795
BRK-B,2016,198556278480.98187
BRK-B,2017,241369828335.85663
BRK-B,2018,280573265095.35034
BRK-B,2019,286838239045.8453
BRK-B,2020,282616866104.77496
BRK-B,2021,375945140711.12445
BRK-B,2022,419753595134.4948
BRK-B,2023,462116874181.597
WMT,2010,102656961548.1673
WMT,2011,107951954415.56229
WMT,2012,137091585885.577
WMT,2013,157307758313.10855
WMT,2014,165531342537.24094
WMT,2015,158887237718.8072
WMT,2016,157093199022.00668
WMT,2017,183493319944.4405
WMT,2018,219667185728.45065
WMT,2019,263649667637.86316
WMT,2020,320957141610.27716
WMT,2021,356329092328.8011
WMT,2022,353149725675.9706
WMT,2023,397315017697.7412
JPM,2010,74439437184.88756
JPM,2011,73433458222.90991
JPM,2012,75405294448.90297
JPM,2013,102648247182.84258
JPM,2014,118239926301.04773
JPM,2015,133239238463.39058
JPM,2016,140972416795.84085
JPM,2017,202578197032.96133
JPM,2018,249064158221.9902
JPM,2019,263623487784.79596
JPM,2020,254724530397.34744
JPM,2021,383825192371.0266
JPM,2022,324375755951.8871
JPM,2023,376653746873.18823
ORCL,2010,58140325411.8154
ORCL,2011,72147688099.91986
ORCL,2012,69135890433.72069
ORCL,2013,78996328669.8912
ORCL,2014,95270678625.85118
ORCL,2015,98091495311.58557
ORCL,2016,95806206126.00743
ORCL,2017,115427417656.17906
ORCL,2018,121056306452.11003
ORCL,2019,137997325659.46094
ORCL,2020,144133870678.79636
ORCL,2021,216129290108.74365
ORCL,2022,204066534990.96732
ORCL,2023,284855953588.9187
V,2010,30204536789.621986
V,2011,31831558523.671307
V,2012,48641903914.94064
V,2013,70443632146.8087
V,2014,87227621762.75053
V,2015,112106936555.42787
V,2016,124319875112.89163
V,2017,157119244007.92975
V,2018,214674569079.24512
V,2019,271805465460.55997
V,2020,317990069445.0201
V,2021,366472000645.2055
V,2022,343676098032.8077
V,2023,392769266392.60913
LLY,2010,21375914447.67719
LLY,2011,23662453413.89338
LLY,2012,29437415927.33551
LLY,2013,37003907151.09422
LLY,2014,44919979109.75901
LLY,2015,59101532442.554054
LLY,2016,58779090369.8527
LLY,2017,64936557298.37948
LLY,2018,75976584243.22705
LLY,2019,96641801166.14786
LLY,2020,126035151390.8081
LLY,2021,193765930598.2632
LLY,2022,269033233404.4948
LLY,2023,411312473922.4033
MA,2010,18971112847.425632
MA,2011,24762833421.306725
MA,2012,35836615479.77242
MA,2013,51145036805.567375
MA,2014,65001668923.04543
MA,2015,78197656421.18117
MA,2016,81537417303.3018
MA,2017,109192876001.14539
MA,2018,165283525136.66028
MA,2019,222187154301.15533
MA,2020,269761925229.10785
MA,2021,313247897006.3894
MA,2022,300311344303.14996
MA,2023,341676730517.23834
NFLX,2010,7149028511.155185
NFLX,2011,11682796382.686058
NFLX,2012,5037522191.186121
NFLX,2013,14987918585.92134
NFLX,2014,24431171877.122364
NFLX,2015,39048862843.75641
NFLX,2016,43355353200.07398
NFLX,2017,70271826746.39937
NFLX,2018,135674763204.12099
NFLX,2019,139746430244.1402
NFLX,2020,189868515905.23502
NFLX,2021,237201222159.36447
NFLX,2022,120950619790.25096
NFLX,2023,165826476851.05005
XOM,2010,156738945459.02576
XOM,2011,196966231700.634
XOM,2012,219159472649.8758
XOM,2013,235304864448.64056
XOM,2014,259904004237.01218
XOM,2015,228069037372.55286
XOM,2016,246027843348.75977
XOM,2017,242019050102.17117
XOM,2018,245763476899.00818
XOM,2019,236629375820.70126
XOM,2020,151222288960.10593
XOM,2021,212634340623.4251
XOM,2022,353049800540.2974
XOM,2023,432298036983.3594
COST,2010,19261922467.266926
COST,2011,25308971895.938477
COST,2012,30092240090.729908
COST,2013,39373816133.020836
COST,2014,43304411597.796875
COST,2015,54818747079.24088
COST,2016,58030234914.26432
COST,2017,65337573478.38533
COST,2018,83554392774.30888
COST,2019,106018266170.90755
COST,2020,134851681415.42564
COST,2021,177535978692.0703
COST,2022,216789780035.10434
COST,2023,229301153589.71887
PLTR,2020,40389107681.01797
PLTR,2021,55090518213.55748
PLTR,2022,22529670962.216938
PLTR,2023,30159962059.194828
JNJ,2010,96381009707.8471
JNJ,2011,102116986041.96764
JNJ,2012,111559679191.79141
JNJ,2013,147848394454.69736
JNJ,2014,178821858501.45004
JNJ,2015,181872959767.0229
JNJ,2016,213302895868.85126
JNJ,2017,250169550373.4619
JNJ,2018,263129221107.33765
JNJ,2019,274212772211.0248
JNJ,2020,304604909015.92065
JNJ,2021,354772637490.1348
JNJ,2022,379426447901.43756
JNJ,2023,362333555775.0885
HD,2010,21764535119.41613
HD,2011,25955276234.204006
HD,2012,39552570133.150024
HD,2013,56102600275.20946
HD,2014,65758476232.8869
HD,2015,91432599661.12215
HD,2016,104055880444.07776
HD,2017,127358240424.53622
HD,2018,158134930035.45584
HD,2019,178114294550.4964
HD,2020,219313285273.75592
HD,2021,294149028630.3246
HD,2022,285599399287.95074
HD,2023,291543112885.38477
PG,2010,93718836921.7918
PG,2011,99177661948.98038
PG,2012,106417326898.36691
PG,2013,130538392674.32507
PG,2014,141114322780.72302
PG,2015,140124125724.4616
PG,2016,152951616530.9518
PG,2017,168569249852.70407
PG,2018,160462569426.13272
PG,2019,223764867969.722
PG,2020,262559230510.55646
PG,2021,293821283159.8548
PG,2022,318186676953.64813
PG,2023,329828066788.05505
ABBV,2013,47434046414.26328
ABBV,2014,62313892169.78164
ABBV,2015,71928649819.15187
ABBV,2016,72933090223.1707
ABBV,2017,93911837284.96901
ABBV,2018,125772855149.65771
ABBV,2019,105657219909.06003
ABBV,2020,130411725284.89426
ABBV,2021,170338047058.27014
ABBV,2022,233450425361.49835
ABBV,2023,241482564295.8203
SAP,2010,42794259404.99603
SAP,2011,53073766506.51537
SAP,2012,62023886326.582535
SAP,2013,74299175701.39102
SAP,2014,73535905334.21758
SAP,2015,71204827364.22746
SAP,2016,82388795617.63126
SAP,2017,105792614777.12164
SAP,2018,115138202336.7914
SAP,2019,127498226282.69568
SAP,2020,142798330665.2436
SAP,2021,148748486000.34033
SAP,2022,112951515536.74477
SAP,2023,149806338285.45645
BAC,2010,85419254719.27602
BAC,2011,58477366025.56891
BAC,2012,49548551572.18036
BAC,2013,79206798031.0463
BAC,2014,96607746035.254
BAC,2015,99041036420.17183
BAC,2016,93521107634.28282
BAC,2017,152047437006.20166
BAC,2018,185563012814.42346
BAC,2019,188701527053.69098
BAC,2020,172019089688.64215
BAC,2021,270552342863.92023
BAC,2022,254011806542.24893
BAC,2023,210772570006.79968
CVX,2010,87296993936.65433
CVX,2011,116419859671.97559
CVX,2012,128207605450.7896
CVX,2013,148109996051.76407
CVX,2014,153540527794.1448
CVX,2015,127482549714.25507
CVX,2016,138644493262.93994
CVX,2017,160967198629.29178
CVX,2018,180296406078.91653
CVX,2019,186578633338.35178
CVX,2020,144027441074.3634
CVX,2021,180027754363.94687
CVX,2022,286659174358.1302
CVX,2023,298924313426.91736
KO,2010,76612655987.09796
KO,2011,92958178961.69405
KO,2012,106334102173.72159
KO,2013,117012073356.76823
KO,2014,124101519632.5651
KO,2015,129195814837.21062
KO,2016,140796683501.03604
KO,2017,148264786415.8631
KO,2018,156969853128.90564
KO,2019,181642585117.41336
KO,2020,184235239306.55453
KO,2021,206138737470.9818
KO,2022,242165992318.8804
KO,2023,242067487769.58514
GE,2010,61644924969.48242
GE,2011,69632412901.98009
GE,2012,80704890923.62794
GE,2013,99137506743.57458
GE,2014,110868307140.32854
