Ticker,Date,StockPrice,BookValuePerShare,PB
NVDA,2010-01-01,0.3,,2.4525
NVDA,2011-01-01,0.41750000000000004,,2.8525
NVDA,2012-01-01,0.305,,1.725
NVDA,2013-01-01,0.325,,1.6800000000000002
NVDA,2014-01-01,0.425,,2.185
NVDA,2015-01-01,0.54,,2.6525
NVDA,2016-01-01,1.1824999999999999,,5.4175
NVDA,2017-01-01,3.5949999999999998,,14.135000000000002
NVDA,2018-01-01,5.7299999999999995,,16.8625
NVDA,2019-01-01,4.3100000000000005,,10.3325
NVDA,2020-01-01,9.0625,,16.1075
NVDA,2021-01-01,18.23,,22.1725
NVDA,2022-01-01,18.645,,18.8175
NVDA,2023-01-01,33.6775,,30.475
NVDA,2024-01-01,99.395,,44.315
NVDA,2025-01-01,136.57666666666668,,40.43333333333333
MSFT,2010-01-01,19.855,,3.6500000000000004
MSFT,2011-01-01,19.86,,2.8600000000000003
MSFT,2012-01-01,23.805,,2.9
MSFT,2013-01-01,27.544999999999998,,2.8425000000000002
MSFT,2014-01-01,37.144999999999996,,3.4050000000000002
MSFT,2015-01-01,40.1275,,3.9975
MSFT,2016-01-01,50.5,,5.52
MSFT,2017-01-01,67.4575,,6.445
MSFT,2018-01-01,94.58250000000001,,8.5475
MSFT,2019-01-01,130.07,,9.5875
MSFT,2020-01-01,190.45749999999998,,11.815000000000001
MSFT,2021-01-01,272.3525,,13.86
MSFT,2022-01-01,253.28,,11.0875
MSFT,2023-01-01,325.4975,,11.2475
MSFT,2024-01-01,427.0025,,11.4725
MSFT,2025-01-01,464.31666666666666,,10.229999999999999
AAPL,2010-01-01,8.209999999999999,,4.5525
AAPL,2011-01-01,11.0475,,3.9025
AAPL,2012-01-01,17.9625,,4.1325
AAPL,2013-01-01,14.46,,2.8725
AAPL,2014-01-01,21.009999999999998,,4.1850000000000005
AAPL,2015-01-01,26.11,,4.7025
AAPL,2016-01-01,24.835,,4.112500000000001
AAPL,2017-01-01,35.66,,5.422499999999999
AAPL,2018-01-01,43.625,,7.2700000000000005
AAPL,2019-01-01,54.49,,10.3375
AAPL,2020-01-01,98.125,,24.1975
AAPL,2021-01-01,141.585,,34.75
AAPL,2022-01-01,142.66,,39.305
AAPL,2023-01-01,178.99,,43.3625
AAPL,2024-01-01,215.52249999999998,,50.2475
AAPL,2025-01-01,220.95499999999998,,49.42
AMZN,2010-01-01,7.275,,10.497499999999999
AMZN,2011-01-01,9.675,,11.465
AMZN,2012-01-01,11.7025,,13.8575
AMZN,2013-01-01,15.6925,,15.8625
AMZN,2014-01-01,16.175,,14.2525
AMZN,2015-01-01,24.9225,,19.0775
AMZN,2016-01-01,36.205,,20.105
AMZN,2017-01-01,49.817499999999995,,19.697499999999998
AMZN,2018-01-01,83.1525,,21.98
AMZN,2019-01-01,90.7275,,16.442500000000003
AMZN,2020-01-01,138.93,,17.575
AMZN,2021-01-01,164.42,,14.0825
AMZN,2022-01-01,116.5525,,8.72
AMZN,2023-01-01,128.1775,,7.455
AMZN,2024-01-01,194.8375,,8.23
AMZN,2025-01-01,206.72,,7.17
GOOGL,2010-01-01,13.26,,4.032500000000001
GOOGL,2011-01-01,14.02,,3.4
GOOGL,2012-01-01,16.6875,,3.29
GOOGL,2013-01-01,22.8325,,3.7425
GOOGL,2014-01-01,28.1,,3.91
GOOGL,2015-01-01,31.2025,,3.7325
GOOGL,2016-01-01,38.06,,4.0
GOOGL,2017-01-01,47.2775,,4.3475
GOOGL,2018-01-01,54.9,,4.565
GOOGL,2019-01-01,59.8925,,4.2925
GOOGL,2020-01-01,72.045,,4.609999999999999
GOOGL,2021-01-01,125.185,,6.9
GOOGL,2022-01-01,107.33250000000001,,5.495
GOOGL,2023-01-01,122.76,,5.6850000000000005
GOOGL,2024-01-01,171.35500000000002,,6.8275
GOOGL,2025-01-01,175.75333333333333,,5.96
META,2012-01-01,26.313333333333333,,4.526666666666666
META,2013-01-01,38.6225,,7.0600000000000005
META,2014-01-01,70.7575,,8.52
META,2015-01-01,90.1425,,6.2175
META,2016-01-01,117.2825,,6.4225
META,2017-01-01,159.22,,6.73
META,2018-01-01,161.53,,5.8125
META,2019-01-01,184.7425,,5.695
META,2020-01-01,230.965,,5.665
META,2021-01-01,327.6975,,6.9275
META,2022-01-01,159.035,,3.425
META,2023-01-01,286.6975,,5.2675
META,2024-01-01,535.3774999999999,,8.2975
META,2025-01-01,668.875,,9.120000000000001
AVGO,2010-01-01,1.5125,,2.8125
AVGO,2011-01-01,2.3375000000000004,,3.1425
AVGO,2012-01-01,2.5325,,2.79
AVGO,2013-01-01,2.8,,2.5725
AVGO,2014-01-01,5.22,,4.2
AVGO,2015-01-01,9.0375,,5.79
AVGO,2016-01-01,11.9625,,3.0725
AVGO,2017-01-01,18.515,,3.3275
AVGO,2018-01-01,18.7725,,2.7225
AVGO,2019-01-01,24.6525,,4.2875
AVGO,2020-01-01,27.400000000000002,,4.62
AVGO,2021-01-01,43.957499999999996,,7.425000000000001
AVGO,2022-01-01,50.4075,,9.450000000000001
