Ticker,Date,ROE,NetIncome
NVDA,2010-01-01,6.08,
NVDA,2011-01-01,12.785,
NVDA,2012-01-01,12.620000000000001,
NVDA,2013-01-01,11.7275,
NVDA,2014-01-01,11.8825,
NVDA,2015-01-01,13.712499999999999,
NVDA,2016-01-01,19.29,
NVDA,2017-01-01,38.0125,
NVDA,2018-01-01,53.7175,
NVDA,2019-01-01,33.5375,
NVDA,2020-01-01,27.252499999999998,
NVDA,2021-01-01,35.51,
NVDA,2022-01-01,34.2225,
NVDA,2023-01-01,38.287499999999994,
NVDA,2024-01-01,109.1225,
NVDA,2025-01-01,111.18,
MSFT,2010-01-01,42.925,
MSFT,2011-01-01,43.19,
MSFT,2012-01-01,27.385,
MSFT,2013-01-01,27.515,
MSFT,2014-01-01,24.9675,
MSFT,2015-01-01,16.295,
MSFT,2016-01-01,25.345,
MSFT,2017-01-01,29.845,
MSFT,2018-01-01,25.36,
MSFT,2019-01-01,41.39,
MSFT,2020-01-01,41.28,
MSFT,2021-01-01,46.865,
MSFT,2022-01-01,43.44,
MSFT,2023-01-01,38.345,
MSFT,2024-01-01,35.3525,
MSFT,2025-01-01,32.59,
AAPL,2010-01-01,33.7525,
AAPL,2011-01-01,40.54,
AAPL,2012-01-01,40.9,
AAPL,2013-01-01,30.03,
AAPL,2014-01-01,32.92,
AAPL,2015-01-01,41.6575,
AAPL,2016-01-01,37.165,
AAPL,2017-01-01,36.0375,
AAPL,2018-01-01,45.7675,
AAPL,2019-01-01,54.355000000000004,
AAPL,2020-01-01,75.2225,
AAPL,2021-01-01,134.185,
AAPL,2022-01-01,157.55,
AAPL,2023-01-01,161.865,
AAPL,2024-01-01,144.675,
AAPL,2025-01-01,151.31,
AMZN,2010-01-01,20.645,
AMZN,2011-01-01,12.625,
AMZN,2012-01-01,3.075,
AMZN,2013-01-01,0.56,
AMZN,2014-01-01,0.1499999999999999,
AMZN,2015-01-01,0.56,
AMZN,2016-01-01,12.445,
AMZN,2017-01-01,11.06,
AMZN,2018-01-01,22.392500000000002,
AMZN,2019-01-01,24.6925,
AMZN,2020-01-01,22.465,
AMZN,2021-01-01,28.155,
AMZN,2022-01-01,8.03,
AMZN,2023-01-01,10.2875,
AMZN,2024-01-01,21.5825,
AMZN,2025-01-01,24.26,
GOOGL,2010-01-01,20.1025,
GOOGL,2011-01-01,18.697499999999998,
GOOGL,2012-01-01,17.6325,
GOOGL,2013-01-01,15.899999999999999,
GOOGL,2014-01-01,14.42,
GOOGL,2015-01-01,13.845,
GOOGL,2016-01-01,14.6675,
GOOGL,2017-01-01,12.870000000000001,
GOOGL,2018-01-01,12.7625,
GOOGL,2019-01-01,17.6525,
GOOGL,2020-01-01,17.3475,
GOOGL,2021-01-01,28.2975,
GOOGL,2022-01-01,27.195,
GOOGL,2023-01-01,24.697499999999998,
GOOGL,2024-01-01,31.035,
GOOGL,2025-01-01,34.43,
META,2010-01-01,112.12,
META,2011-01-01,109.405,
META,2012-01-01,8.13,
META,2013-01-01,6.17,
META,2014-01-01,14.0425,
META,2015-01-01,8.575,
META,2016-01-01,15.372499999999999,
META,2017-01-01,22.2,
META,2018-01-01,25.595,
META,2019-01-01,21.03,
META,2020-01-01,23.24,
META,2021-01-01,29.39,
META,2022-01-01,24.255,
META,2023-01-01,21.4025,
META,2024-01-01,34.8775,
META,2025-01-01,39.01,
AVGO,2010-01-01,15.285,
AVGO,2011-01-01,33.1575,
AVGO,2012-01-01,27.0075,
AVGO,2013-01-01,21.8925,
AVGO,2014-01-01,14.735,
AVGO,2015-01-01,23.6125,
AVGO,2016-01-01,3.63,
AVGO,2017-01-01,0.08000000000000007,
AVGO,2018-01-01,39.215,
AVGO,2019-01-01,15.565,
AVGO,2020-01-01,10.275,
AVGO,2021-01-01,21.2725,
AVGO,2022-01-01,40.8525,
AVGO,2023-01-01,60.4,
AVGO,2024-01-01,18.295,
AVGO,2025-01-01,16.85,
TSLA,2010-01-01,-144.80999999999997,
TSLA,2011-01-01,-128.215,
TSLA,2012-01-01,-296.53,
TSLA,2013-01-01,-128.53750000000002,
TSLA,2014-01-01,-23.95,
TSLA,2015-01-01,-66.675,
TSLA,2016-01-01,-61.7675,
TSLA,2017-01-01,-22.695,
TSLA,2018-01-01,-36.6625,
TSLA,2019-01-01,-14.135,
TSLA,2020-01-01,2.945,
TSLA,2021-01-01,12.442499999999999,
TSLA,2022-01-01,30.0075,
TSLA,2023-01-01,25.6425,
TSLA,2024-01-01,18.4075,
TSLA,2025-01-01,8.21,
TSM,2010-01-01,28.080000000000002,
TSM,2011-01-01,26.055,
TSM,2012-01-01,23.1925,
TSM,2013-01-01,24.555,
TSM,2014-01-01,24.509999999999998,
TSM,2015-01-01,27.509999999999998,
TSM,2016-01-01,24.58,
TSM,2017-01-01,25.0825,
TSM,2018-01-01,23.48,
TSM,2019-01-01,20.732499999999998,
TSM,2020-01-01,28.7275,
TSM,2021-01-01,29.9,
TSM,2022-01-01,34.295,
TSM,2023-01-01,29.3525,
TSM,2024-01-01,27.255000000000003,
TSM,2025-01-01,31.275,
BRK.B,2010-01-01,8.64,
BRK.B,2011-01-01,6.922499999999999,
BRK.B,2012-01-01,7.2875,
BRK.B,2013-01-01,9.0875,
BRK.B,2014-01-01,8.87,
BRK.B,2015-01-01,8.645,
BRK.B,2016-01-01,9.27,
BRK.B,2017-01-01,9.010000000000002,
BRK.B,2018-01-01,11.030000000000001,
BRK.B,2019-01-01,10.665,
BRK.B,2020-01-01,6.8175,
BRK.B,2021-01-01,21.1525,
BRK.B,2022-01-01,3.5874999999999995,
BRK.B,2023-01-01,12.8425,
BRK.B,2024-01-01,14.355,
BRK.B,2025-01-01,11.17,
WMT,2010-01-01,21.2875,
WMT,2011-01-01,23.8,
WMT,2012-01-01,21.8675,
WMT,2013-01-01,21.945,
WMT,2014-01-01,19.95,
WMT,2015-01-01,19.009999999999998,
WMT,2016-01-01,17.9625,
WMT,2017-01-01,16.255000000000003,
WMT,2018-01-01,9.275,
WMT,2019-01-01,13.65,
WMT,2020-01-01,21.365000000000002,
WMT,2021-01-01,12.875,
WMT,2022-01-01,14.0475,
WMT,2023-01-01,16.0775,
WMT,2024-01-01,19.78,
WMT,2025-01-01,20.595,
JPM,2010-01-01,8.0325,
JPM,2011-01-01,10.1475,
