Ticker,StockPrice_x,NetEPS,PE,Year,StockPrice_y,BookValuePerShare,PB,DividendYield,MarketCap,ROE,NetIncome,ROA,TotalAssets,Volume,DebtToEquity
AAPL,8.209999999999999,,16.885,2010,8.209999999999999,,4.5525,0.0,115893931449.75037,33.7525,,22.165,,599305266.6666666,0.5275
AAPL,11.0475,,11.6175,2011,11.0475,,3.9025,0.0,162351806178.69836,40.54,,26.2,,492298966.6666667,0.535
AAPL,17.9625,,11.7175,2012,17.9625,,4.1325,4.258132015912101e-05,257550907549.50256,40.9,,27.3125,,527856817.6,0.49
AAPL,14.46,,10.0125,2013,14.46,,2.8725,0.0001141645602915,215566045171.1284,30.03,,19.48,,406434800.0,0.62
AAPL,21.01,,12.88,2014,21.01,,4.1850000000000005,9.381153598419216e-05,301691488237.6877,32.92,,18.262500000000003,,252610922.2222222,0.9375
AAPL,26.11,,11.8975,2015,26.11,,4.7025,7.461678612286603e-05,399224576820.49255,41.6575,,19.545,,207397617.46031743,1.23
AAPL,24.835,,11.65,2016,24.835,,4.112500000000001,9.557860202395392e-05,355101042249.444,37.165,,15.6675,,153690123.80952382,1.4425
AAPL,35.66,,15.71,2017,35.66,,5.422499999999999,6.856453526835682e-05,520717700075.6076,36.0375,,13.9825,,108538270.91633466,1.7025
AAPL,43.625,,15.39,2018,43.625,,7.27,6.272302492609128e-05,663851461393.3633,45.7675,,15.3925,,136080258.16733068,2.13
AAPL,54.49,,18.0375,2019,54.49,,10.3375,6.184034541906949e-05,742821107961.0204,54.355,,16.259999999999998,,112122788.8888889,2.5275
AAPL,98.125,,28.985,2020,98.125,,24.1975,3.5047518227123674e-05,1375933580117.5784,75.2225,,18.0325,,157564646.64031622,3.6975
AAPL,141.585,,26.64,2021,141.585,,34.75,2.4914521290313303e-05,2048169381353.5845,134.185,,26.27,,90524627.3809524,4.215
AAPL,142.66,,23.5325,2022,142.66,,39.305,2.342366816270601e-05,2261791140906.783,157.55,,28.125,,87910376.4940239,5.015000000000001
AAPL,178.99,,29.3675,2023,178.99,,43.3625,2.241474728396941e-05,2535776296452.7856,161.865,,28.2725,,59223547.6,4.335
AAPL,215.5225,,34.065,2024,215.5225,,50.2475,,,144.675,,28.43,,,4.2700000000000005
AAPL,220.955,,34.415,2025,220.955,,49.42,,,151.31,,28.37,,,3.96
ABBV,,,,2010,,,,,,,,,,,0.35
ABBV,,,,2011,,,,,,115.09,,70.34,,,0.16
ABBV,,,,2012,20.47,,0.0,,,46.285,,27.5475,,,2.1475
ABBV,30.27,,11.295,2013,27.6425,,12.105,0.000251790000409,47434046414.26328,98.2525,,18.3725,,6259331.746031746,6.8575
ABBV,36.7625,,20.26,2014,36.7625,,18.2375,0.0002019067043248,62313892169.78164,78.915,,12.03,,9136328.174603175,7.3975
ABBV,39.2625,,25.715,2015,39.2625,,21.3,0.000198694961719,71928649819.15187,83.37,,7.6125,,10486105.952380951,12.4775
ABBV,41.67,,11.805,2016,41.67,,12.79,0.0002268974026254,72933090223.1707,116.0575,,9.9175,,8018055.158730159,11.0125
ABBV,57.2,,15.175,2017,57.2,,16.17,0.0002051512158874,93911837284.969,112.0025,,9.3025,,5990490.836653386,11.12
