Ticker,Year,PE,PB,ROE,ROA,DebtToEquity,DividendYield,MarketCap,Volume,Value_Score,Quality_Score,Risk_Score,Total_Score,Rank
INTC,2010,8.675,1.6225,21.485,16.7975,0.2775,0.000183377,59833397809,66724836.50793651,0,1,0,0.4,1
T,2010,2.5675,0.3775,15.5375,6.07,1.4925,0.000992039,48495692872.09808,37405029.07936508,0,1,0,0.4,1
XOM,2010,6.9375,1.295,20.16,9.9675,1.0075,0.000188005,156738945459.02576,26432254.36507937,0,1,0,0.4,1
QCOM,2010,14.5825,2.225,15.9275,11.3925,0.4275,0.00010955,30435165113.48633,21332048.80952381,0,1,0,0.4,1
KO,2010,10.2575,3.0275,32.49,16.7275,1.0025,0.000196073,76612655987.09796,20568367.46031746,0,1,0,0.4,1
PBR,2010,2.505,0.405,16.6325,8.365,0.8999999999999999,0.000452386,37880024720.69514,16925136.904761903,0,1,0,0.4,1
HD,2010,12.4575,1.8525,15.02,6.79,1.1825,0.000173428,21764535119.41613,15789932.142857144,0,1,0,0.4,1
TXN,2010,8.3625,2.1425,27.56,21.905,0.265,0.000111848,16102102627.972242,14445609.126984129,0,1,0,0.4,1
TSM,2010,8.622499999999999,0,28.08,22.6575,0.26,0.000285851,34862572971.96463,14139352.38095238,0,1,0,0.4,1
COP,2010,4.3375,0.5800000000000001,14.1325,5.9775,1.305,0.000267333,31512093935.68443,13361262.845238095,0,1,0,0.4,1
BMY,2010,4.4075,1.7425,58.3475,28.3325,1.0025,0.000240296,31279740581.30537,12512150.793650793,0,1,0,0.4,1
PG,2010,10.02,1.765,18.63,9.135,1.07,0.000187051,93718836922,11967932.936507937,0,1,0,0.4,1
DIS,2010,14.315,1.4325,10.48,5.9075,0.76,4.9881920474374814e-05,52635718262,11964263.095238095,0,1,0,0.4,1
CVS,2010,9.002500000000001,0.855,9.9125,5.7975,0.6925,6.132369041270362e-05,28562525954.04948,10686116.26984127,0,1,0,0.4,1
UNH,2010,6.9075,1.155,18.0675,7.3075,1.4449999999999998,5.949582779816658e-05,23764797761.61168,9987091.27,0,1,0,0.4,1
NEM,2010,10.7575,1.44,14.7925,8.657499999999999,0.67,4.77342205956775e-05,44038869499.30724,7741037.301587301,0,1,0,0.4,1
LLY,2010,5.7275,2.45,44.625,16.655,1.555,0.000325039,21375914447.67719,7303888.492063492,0,1,0,0.4,1
UNP,2010,12.07,1.6375,14.155,5.69,1.46,9.540041694319294e-05,16433175624.364218,7207817.46,0,1,0,0.4,1
MDT,2010,10.2725,2.0475,21.2475,11.53,0.905,0.000124736,34597559248.11873,6666677.380952381,0,1,0,0.4,1
MMM,2010,8.1675,2.1175,28.245,13.9425,0.95,0.000159121,23567073603.12829,4909966.31,0,1,0,0.4,1
CSCO,2011,9.8425,1.4075,15.0925,8.335,0.8200000000000001,6.692704507796822e-05,45247396405.08379,68310700.79365079,0.5,0.5,0,0.4,4
INTC,2011,6.5725,1.6525,26.28,19.2725,0.455,0.000200126,65654762748.628975,61425900.79365079,0.25,1,0,0.5,3
T,2011,5.452500000000001,0.44,12.6975,5.27,1.44,0.000834503,57712557776.44869,38227821.515873015,0,0.5,0.5,0.30000000000000004,5
XOM,2011,6.02,1.41,24.6775,12.2825,1.025,0.000163146,1.96966E+11,21940620.23809524,0.25,1,0,0.5,3
ABT,2011,6.265,1.1675,19.7525,7.865,1.4275,0.000196249,31917770027,17734964.80952381,0.25,0.5,0.5,0.4,4
PBR,2011,2.2025,0.2224999999999999,12.555,7.27,0.7525,0.000482296,32919224827.386765,16343514.682539685,0.5,0.5,0.5,0.5,3
TSM,2011,9.09,0,26.055,20.5525,0.265,0.000241833,44049299604.10061,14703195.634920634,0.125,0.5,0,0.25,6
COP,2011,4.2025,0.695,17.1375,7.5375,1.2975,0.000232509,42183130073.211685,12600951.400793651,0.25,1,0.5,0.6,2
BMY,2011,9.7125,2.0325,21.4225,10.8375,0.985,0.000296246,37048733111.64584,12372700,0,0.5,0.5,0.30000000000000004,5
DIS,2011,13.3975,1.4875,11.715,6.61,0.7975,7.68939829197058e-05,59207146457.83673,11821111.507936507,0.25,1,0,0.5,3
HD,2011,12.0675,2.255,18.76,8.407499999999999,1.2825000000000002,0.000157689,25955276234.204006,11637141.666666666,0.25,1,0,0.5,3
TXN,2011,8.9475,2.2325,26.835,19.0775,0.65,9.893878537582806e-05,19661609992.28228,11285104.76190476,0,0.5,0,0.2,7
PG,2011,11.322500000000002,1.7675,16.81,8.157499999999999,1.0550000000000002,0.000189977,99177661948.98038,10490821.825396825,0,0.5,0.5,0.30000000000000004,5
CVS,2011,10.24,0.8975,9.055,5.3725,0.7025,7.971973927978694e-05,31974601200.973957,10020045.23809524,0,0.5,0,0.2,7
LLY,2011,6.545,2.225,34.89,14.765,1.315,0.000298282,23662453413.89338,8259085.714285715,0.25,0.5,0.5,0.4,4
UNH,2011,8.69,1.5025,18.5875,7.577500000000001,1.455,6.430272022883795e-05,33919315870.81069,7491096.428571428,0,1,0,0.4,4
AMGN,2011,9.1625,1.5375,17.1825,9.37,1.0125,5.927229375863694e-05,20919275045.96448,6931533.73,0.25,0.5,0,0.30000000000000004,5
MDT,2011,9.01,1.77,20.815,10.675,0.9275,0.000143595,33754845382,6530849.206349206,0.5,0.5,0,0.4,4
UNP,2011,11.65,1.905,17.025,7.0175,1.4225,0.000107178,21179615275.28127,6184597.619047619,0.25,1,0.5,0.6,2
DHR,2011,6.465,0.825,14.0675,8.27,0.77,1.23863641210326e-05,14204252855.43316,5840164.492063492,0.5,1,0,0.6000000000000001,1
INTC,2012,7.535,1.765,25.1375,16.552500000000002,0.545,0.00019311,76794362693.72609,42295023.6,0.16666666666666669,0.5,0,0.2666666666666667,10
CSCO,2012,8.692499999999999,1.275,15.555,8.6125,0.7825,0.000157882,49242689051.05591,41753722.8,0.6666666666666667,0.6666666666666666,0.6666666666666667,0.6666666666666667,2
PFE,2012,9.4425,1.21,13.2075,5.8975,1.2525,0.000260633,73606247933,35668674.12,0,1,0,0.4,7
WMT,2012,10.985,2.3025,21.8675,8.27,1.615,0.000126547,1.37092E+11,27717045.6,0,0.5,0.33333333333333337,0.2666666666666667,10
XOM,2012,5.66,1.4175,26.3275,13.045,0.99,0.000169992,219159472649.8758,15003279.6,0.33333333333333337,1,0.6666666666666667,0.6666666666666667,2
ABT,2012,6.91,1.465,22.1175,9.0675,1.45,0.000167201,40611083724.72394,14492313.46,0,0.6666666666666666,0.33333333333333337,0.33333333333333337,8
