Date,TickerName,StockPrice,NetEPS,PE
2025-07-28,NVDA,176.75,,57.02
2025-04-30,NVDA,108.91,$3.10,35.13
2025-01-31,NVDA,120.05,$2.94,40.86
2024-10-31,NVDA,132.73,$2.54,52.23
2024-07-31,NVDA,116.98,$2.13,54.87
2024-04-30,NVDA,86.37,$1.71,50.51
2024-01-31,NVDA,61.5,$1.19,51.51
2023-10-31,NVDA,40.76,$0.76,53.77
2023-07-31,NVDA,46.7,$0.41,112.8
2023-04-30,NVDA,27.73,$0.19,144.42
2023-01-31,NVDA,19.52,$0.17,112.18
2022-10-31,NVDA,13.48,$0.24,57.37
2022-07-31,NVDA,18.14,$0.31,59.46
2022-04-30,NVDA,18.52,$0.37,49.64
2022-01-31,NVDA,24.44,$0.38,63.52
2021-10-31,NVDA,25.52,$0.32,78.61
2021-07-31,NVDA,19.46,$0.28,69.34
2021-04-30,NVDA,14.97,$0.21,70.83
2021-01-31,NVDA,12.95,$0.17,75.14
2020-10-31,NVDA,12.5,$0.15,81.73
2020-07-31,NVDA,10.58,$0.14,77.68
2020-04-30,NVDA,7.28,$0.13,54.37
2020-01-31,NVDA,5.89,$0.11,52.03
2019-10-31,NVDA,5.0,$0.10,51.12
2019-07-31,NVDA,4.19,$0.11,37.84
2019-04-30,NVDA,4.49,$0.13,33.96
2019-01-31,NVDA,3.56,$0.17,21.5
2018-10-31,NVDA,5.22,$0.19,27.88
2018-07-31,NVDA,6.06,$0.17,35.39
2018-04-30,NVDA,5.56,$0.15,37.02
2018-01-31,NVDA,6.08,$0.12,50.39
2017-10-31,NVDA,5.11,$0.10,50.64
2017-07-31,NVDA,4.01,$0.09,45.38
2017-04-30,NVDA,2.57,$0.08,34.11
2017-01-31,NVDA,2.69,$0.06,42.08
2016-10-31,NVDA,1.75,$0.05,36.53
2016-07-31,NVDA,1.4,$0.04,36.79
2016-04-30,NVDA,0.87,$0.03,29.59
2016-01-31,NVDA,0.71,$0.03,26.37
2015-10-31,NVDA,0.69,$0.03,25.44
2015-07-31,NVDA,0.48,$0.02,20.2
2015-04-30,NVDA,0.53,$0.03,19.03
2015-01-31,NVDA,0.46,$0.03,16.4
2014-10-31,NVDA,0.47,$0.03,18.24
2014-07-31,NVDA,0.42,$0.02,18.26
2014-04-30,NVDA,0.44,$0.02,20.54
2014-01-31,NVDA,0.37,$0.02,19.9
2013-10-31,NVDA,0.36,$0.02,18.45
2013-07-31,NVDA,0.34,$0.02,14.9
2013-04-30,NVDA,0.32,$0.02,13.66
2013-01-31,NVDA,0.28,$0.02,12.51
2012-10-31,NVDA,0.27,$0.02,13.46
2012-07-31,NVDA,0.31,$0.02,15.99
2012-04-30,NVDA,0.3,$0.02,14.26
2012-01-31,NVDA,0.34,$0.02,14.16
2011-10-31,NVDA,0.34,$0.03,13.0
2011-07-31,NVDA,0.32,$0.02,14.03
2011-04-30,NVDA,0.46,$0.01,45.84
2011-01-31,NVDA,0.55,$0.01,53.23
2010-10-31,NVDA,0.28,$0.01,0.0
2010-07-31,NVDA,0.21,$0.01,20.85
2010-04-30,NVDA,0.36,$0.01,31.04
2010-01-31,NVDA,0.35,$0.00,0.0
2009-10-31,NVDA,0.27,$-0.02,0.0
