Date,TickerName,StockPrice_x,NetEPS,PE,StockPrice_y,BookValuePerShare,PB,Rolling_P10_PE,Rolling_P90_PE,Rolling_P10_PB,Rolling_P90_PB,Signal,RollingWindow
2009-12-31,AAPL,6.33,$0.31,20.48,6.33,$1.41,4.49,,,,,0,20
2010-03-31,AAPL,7.06,$0.36,19.45,7.06,$1.54,4.57,,,,,0,20
2010-06-30,AAPL,7.56,$0.44,17.17,7.56,$1.69,4.49,,,,,0,20
2010-09-30,AAPL,8.53,$0.54,15.76,8.53,$1.86,4.58,,,,,0,20
2010-12-31,AAPL,9.69,$0.64,15.16,9.69,$2.12,4.57,15.4,20.068,4.49,4.5760000000000005,0,20
2011-03-31,AAPL,10.47,$0.75,13.98,10.47,$2.37,4.41,14.57,19.965,4.45,4.575,1,20
2011-06-30,AAPL,10.09,$0.90,11.18,10.09,$2.67,3.78,12.86,19.862000000000002,4.158,4.574,1,20
2011-09-30,AAPL,11.46,$0.99,11.6,11.46,$2.94,3.89,11.474,19.759,3.857,4.573,0,20
2011-12-31,AAPL,12.17,$1.25,9.71,12.17,$3.45,3.53,10.886,19.656,3.73,4.572,1,20
2012-03-31,AAPL,18.02,$1.46,12.3,18.02,$3.92,4.6,11.033,19.552999999999997,3.755,4.582,0,20
2012-06-30,AAPL,17.55,$1.52,11.55,17.55,$4.26,4.12,11.18,19.45,3.78,4.58,0,20
2012-09-30,AAPL,20.14,$1.58,12.77,20.14,$4.50,4.48,11.217,19.222,3.791,4.579,0,20
2012-12-31,AAPL,16.14,$1.58,10.25,16.14,$4.84,3.33,10.436,18.994,3.58,4.578,1,20
2013-03-31,AAPL,13.5,$1.50,9.02,13.5,$5.15,2.62,9.872,18.766000000000002,3.39,4.577,1,20
2013-06-30,AAPL,12.17,$1.43,8.51,12.17,$4.85,2.51,9.296,18.538,2.9040000000000004,4.5760000000000005,1,20
2013-09-30,AAPL,14.73,$1.42,10.41,14.73,$4.91,3.0,9.365,18.310000000000002,2.81,4.575,0,20
2013-12-31,AAPL,17.44,$1.44,12.11,17.44,$5.19,3.36,9.434000000000001,18.082,2.848,4.574,0,20
2014-03-31,AAPL,16.78,$1.49,11.23,16.78,$4.98,3.37,9.503,17.854000000000003,2.886,4.573,0,20
2014-06-30,AAPL,20.45,$1.55,13.21,20.45,$5.05,4.05,9.572000000000001,17.626,2.924,4.572,0,20
2014-09-30,AAPL,22.29,$1.61,13.86,22.29,$4.75,4.69,9.641,17.398000000000003,2.962,4.582,0,20
2014-12-31,AAPL,24.52,$1.86,13.22,24.52,$5.29,4.63,9.641,15.901000000000002,2.962,4.603,0,20
2015-03-31,AAPL,27.75,$2.02,13.72,27.75,$5.60,4.96,9.641,15.22,2.962,4.636,0,20
2015-06-30,AAPL,28.09,$2.17,12.98,28.09,$5.51,5.1,9.641,14.098000000000003,2.962,4.7170000000000005,0,20
2015-09-30,AAPL,24.82,$2.30,10.79,24.82,$5.35,4.64,9.641,13.872,2.962,4.7170000000000005,0,20
2015-12-31,AAPL,23.78,$2.36,10.1,23.78,$5.78,4.11,9.641,13.734,2.962,4.7170000000000005,0,20
2016-03-31,AAPL,24.76,$2.25,11.02,24.76,$5.95,4.16,9.641,13.270000000000001,2.962,4.7170000000000005,0,20
2016-06-30,AAPL,21.85,$2.14,10.21,21.85,$5.87,3.72,9.641,13.270000000000001,2.962,4.7170000000000005,0,20
2016-09-30,AAPL,25.98,$2.07,12.56,25.98,$6.01,4.32,9.641,13.270000000000001,2.962,4.7170000000000005,0,20
2016-12-31,AAPL,26.75,$2.09,12.81,26.75,$6.30,4.25,9.991999999999999,13.270000000000001,2.962,4.7170000000000005,0,20
2017-03-31,AAPL,33.33,$2.14,15.59,33.33,$6.44,5.18,9.991999999999999,13.734,2.962,4.974,-1,20
2017-06-30,AAPL,33.55,$2.20,15.25,33.55,$6.40,5.24,9.991999999999999,13.999000000000002,2.962,5.108,-1,20
2017-09-30,AAPL,36.04,$2.30,15.67,36.04,$6.54,5.51,9.991999999999999,15.284,2.962,5.186,-1,20
2017-12-31,AAPL,39.72,$2.43,16.33,39.72,$6.90,5.76,9.991999999999999,15.598,2.962,5.267,-1,20
2018-03-31,AAPL,39.54,$2.59,15.26,39.54,$6.42,6.16,10.199000000000002,15.598,3.324,5.535,0,20
2018-06-30,AAPL,43.79,$2.76,15.88,43.79,$5.93,7.38,10.39,15.691,3.369,5.800000000000001,-1,20
2018-09-30,AAPL,53.59,$2.97,18.06,53.59,$5.63,9.51,10.732,15.925,3.685,6.282000000000002,-1,20
2018-12-31,AAPL,37.58,$3.04,12.36,37.58,$6.23,6.03,10.732,15.925,4.0169999999999995,6.282000000000002,0,20
2019-03-31,AAPL,45.44,$2.97,15.29,45.44,$5.74,7.91,10.732,15.925,4.104,7.433000000000001,0,20
2019-06-30,AAPL,47.53,$2.93,16.21,47.53,$5.32,8.93,10.732,16.222,4.155,8.012000000000002,0,20
2019-09-30,AAPL,53.99,$2.96,18.22,53.99,$5.09,10.6,10.732,16.503,4.155,8.988000000000001,-1,20
2019-12-31,AAPL,71.0,$3.17,22.43,71.0,$5.10,13.91,10.732,18.076,4.155,9.619000000000002,-1,20
2020-03-31,AAPL,61.63,$3.19,19.33,61.63,$4.53,13.59,10.732,18.331,4.155,10.899000000000004,-1,20
2020-06-30,AAPL,88.65,$3.29,26.97,88.65,$4.22,21.02,10.732,19.640000000000004,4.155,13.622,-1,20
2020-09-30,AAPL,112.78,$3.26,34.59,112.78,$3.85,29.3,10.939,22.884000000000007,4.155,14.62100000000001,-1,20
2020-12-31,AAPL,129.44,$3.69,35.05,129.44,$3.94,32.88,12.225999999999999,27.73200000000001,4.241,21.848000000000013,-1,20
2021-03-31,AAPL,119.34,$4.46,26.79,119.34,$4.15,28.78,12.540000000000001,27.73200000000001,4.313000000000001,28.832,0,20
2021-06-30,AAPL,134.03,$5.11,26.23,134.03,$3.88,34.52,12.785,27.73200000000001,5.093999999999999,29.658000000000005,0,20
2021-09-30,AAPL,138.68,$5.62,24.68,138.68,$3.84,36.11,15.006,27.73200000000001,5.234,33.044000000000004,0,20
2021-12-31,AAPL,174.29,$6.04,28.86,174.29,$4.40,39.59,15.259,29.433000000000007,5.483,34.679,0,20
2022-03-31,AAPL,171.6,$6.16,27.86,171.6,$4.16,41.27,15.259,29.433000000000007,5.734999999999999,36.458000000000006,0,20
2022-06-30,AAPL,134.56,$6.06,22.2,134.56,$3.61,37.27,15.286999999999999,29.433000000000007,6.003,37.50200000000001,0,20
2022-09-30,AAPL,136.21,$6.11,22.29,136.21,$3.18,42.86,15.286999999999999,29.433000000000007,6.147,39.758,0,20
2022-12-31,AAPL,128.27,$5.89,21.78,128.27,$3.58,35.82,15.286999999999999,29.433000000000007,7.258,39.758,0,20
2023-03-31,AAPL,163.04,$5.89,27.68,163.04,$3.95,41.24,15.821000000000002,29.433000000000007,7.857,41.243,0,20
2023-06-30,AAPL,192.05,$5.95,32.28,192.05,$3.85,49.86,16.118000000000002,32.511,8.828,41.429,0,20
2023-09-30,AAPL,169.74,$6.12,27.74,169.74,$4.00,42.47,16.118000000000002,32.511,8.828,42.509,0,20
2023-12-31,AAPL,191.13,$6.42,29.77,191.13,$4.79,39.88,18.019,32.511,10.433,42.509,0,20
2024-03-31,AAPL,170.45,$6.43,26.51,170.45,$4.84,35.24,19.218999999999998,32.511,13.291,42.509,0,20
2024-06-30,AAPL,209.64,$6.57,31.91,209.64,$4.38,47.84,21.535,32.511,13.878,43.358000000000004,0,20
