Date,TickerName,StockPrice,BookValuePerShare,PB
2009-03-31,AAPL,3.16,$0.97,3.25
2009-06-30,AAPL,4.28,$1.03,4.15
2009-09-30,AAPL,5.57,$1.26,4.44
2009-12-31,AAPL,6.33,$1.41,4.49
2010-03-31,AAPL,7.06,$1.54,4.57
2010-06-30,AAPL,7.56,$1.69,4.49
2010-09-30,AAPL,8.53,$1.86,4.58
2010-12-31,AAPL,9.69,$2.12,4.57
2011-03-31,AAPL,10.47,$2.37,4.41
2011-06-30,AAPL,10.09,$2.67,3.78
2011-09-30,AAPL,11.46,$2.94,3.89
2011-12-31,AAPL,12.17,$3.45,3.53
2012-03-31,AAPL,18.02,$3.92,4.6
2012-06-30,AAPL,17.55,$4.26,4.12
2012-09-30,AAPL,20.14,$4.50,4.48
2012-12-31,AAPL,16.14,$4.84,3.33
2013-03-31,AAPL,13.5,$5.15,2.62
2013-06-30,AAPL,12.17,$4.85,2.51
2013-09-30,AAPL,14.73,$4.91,3.0
2013-12-31,AAPL,17.44,$5.19,3.36
2014-03-31,AAPL,16.78,$4.98,3.37
2014-06-30,AAPL,20.45,$5.05,4.05
2014-09-30,AAPL,22.29,$4.75,4.69
2014-12-31,AAPL,24.52,$5.29,4.63
2015-03-31,AAPL,27.75,$5.60,4.96
2015-06-30,AAPL,28.09,$5.51,5.1
2015-09-30,AAPL,24.82,$5.35,4.64
2015-12-31,AAPL,23.78,$5.78,4.11
2016-03-31,AAPL,24.76,$5.95,4.16
2016-06-30,AAPL,21.85,$5.87,3.72
2016-09-30,AAPL,25.98,$6.01,4.32
2016-12-31,AAPL,26.75,$6.30,4.25
2017-03-31,AAPL,33.33,$6.44,5.18
2017-06-30,AAPL,33.55,$6.40,5.24
2017-09-30,AAPL,36.04,$6.54,5.51
2017-12-31,AAPL,39.72,$6.90,5.76
2018-03-31,AAPL,39.54,$6.42,6.16
2018-06-30,AAPL,43.79,$5.93,7.38
2018-09-30,AAPL,53.59,$5.63,9.51
2018-12-31,AAPL,37.58,$6.23,6.03
2019-03-31,AAPL,45.44,$5.74,7.91
2019-06-30,AAPL,47.53,$5.32,8.93
2019-09-30,AAPL,53.99,$5.09,10.6
2019-12-31,AAPL,71.0,$5.10,13.91
2020-03-31,AAPL,61.63,$4.53,13.59
2020-06-30,AAPL,88.65,$4.22,21.02
2020-09-30,AAPL,112.78,$3.85,29.3
2020-12-31,AAPL,129.44,$3.94,32.88
2021-03-31,AAPL,119.34,$4.15,28.78
2021-06-30,AAPL,134.03,$3.88,34.52
2021-09-30,AAPL,138.68,$3.84,36.11
2021-12-31,AAPL,174.29,$4.40,39.59
2022-03-31,AAPL,171.6,$4.16,41.27
2022-06-30,AAPL,134.56,$3.61,37.27
2022-09-30,AAPL,136.21,$3.18,42.86
2022-12-31,AAPL,128.27,$3.58,35.82
2023-03-31,AAPL,163.04,$3.95,41.24
2023-06-30,AAPL,192.05,$3.85,49.86
2023-09-30,AAPL,169.74,$4.00,42.47
2023-12-31,AAPL,191.13,$4.79,39.88
2024-03-31,AAPL,170.45,$4.84,35.24
2024-06-30,AAPL,209.64,$4.38,47.84
2024-09-30,AAPL,232.18,$3.77,61.63
2024-12-31,AAPL,249.82,$4.44,56.28
2025-03-31,AAPL,221.84,$4.47,49.62
2025-07-25,AAPL,213.88,,47.84
2009-03-31,GOOGL,8.66,$2.36,3.66
2009-06-30,GOOGL,10.49,$2.50,4.2
2009-09-30,GOOGL,12.33,$2.66,4.64
2009-12-31,GOOGL,15.42,$2.83,5.44
2010-03-31,GOOGL,14.11,$3.01,4.69
2010-06-30,GOOGL,11.07,$3.19,3.47
2010-09-30,GOOGL,13.08,$3.39,3.86
2010-12-31,GOOGL,14.78,$3.60,4.11
2011-03-31,GOOGL,14.6,$3.79,3.85
2011-06-30,GOOGL,12.6,$4.03,3.13
2011-09-30,GOOGL,12.81,$4.23,3.03
2011-12-31,GOOGL,16.07,$4.47,3.59
2012-03-31,GOOGL,15.95,$4.73,3.37
2012-06-30,GOOGL,14.43,$4.95,2.92
2012-09-30,GOOGL,18.77,$5.18,3.63
2012-12-31,GOOGL,17.6,$5.43,3.24
2013-03-31,GOOGL,19.76,$5.70,3.47
2013-06-30,GOOGL,21.9,$5.92,3.7
2013-09-30,GOOGL,21.79,$6.21,3.51
2013-12-31,GOOGL,27.88,$6.50,4.29
2014-03-31,GOOGL,27.72,$6.80,4.08
2014-06-30,GOOGL,29.06,$7.08,4.1
2014-09-30,GOOGL,29.25,$7.28,4.01
2014-12-31,GOOGL,26.37,$7.63,3.45
2015-03-31,GOOGL,27.57,$7.95,3.47
2015-06-30,GOOGL,26.84,$8.15,3.29
2015-09-30,GOOGL,31.73,$8.45,3.75
2015-12-31,GOOGL,38.67,$8.75,4.42
2016-03-31,GOOGL,37.92,$9.00,4.21
2016-06-30,GOOGL,34.97,$9.31,3.76
2016-09-30,GOOGL,39.96,$9.73,4.11
2016-12-31,GOOGL,39.39,$10.06,3.92
2017-03-31,GOOGL,42.14,$10.47,4.02
2017-06-30,GOOGL,46.21,$10.70,4.32
2017-09-30,GOOGL,48.4,$11.31,4.28
2017-12-31,GOOGL,52.36,$10.97,4.77
2018-03-31,GOOGL,51.55,$11.57,4.45
2018-06-30,GOOGL,56.12,$11.64,4.82
2018-09-30,GOOGL,59.99,$12.20,4.92
2018-12-31,GOOGL,51.94,$12.77,4.07
2019-03-31,GOOGL,58.49,$13.20,4.43
2019-06-30,GOOGL,53.82,$13.85,3.89
2019-09-30,GOOGL,60.69,$14.11,4.3
2019-12-31,GOOGL,66.57,$14.63,4.55
2020-03-31,GOOGL,57.75,$14.89,3.88
2020-06-30,GOOGL,70.48,$15.22,4.63
2020-09-30,GOOGL,72.84,$15.71,4.64
2020-12-31,GOOGL,87.11,$16.48,5.29
2021-03-31,GOOGL,102.51,$17.14,5.98
2021-06-30,GOOGL,121.36,$17.79,6.82
2021-09-30,GOOGL,132.88,$18.40,7.22
2021-12-31,GOOGL,143.99,$19.00,7.58
